Benchmark Mode,Measurement Unit,Package,Class,Method,Full params,,Original,Fixed,Factor,Wilcoxom,Cliffs Delta Size,Cliffs Delta d
"Average time, time/op",ns/op, org.postgresql.benchmark.statement,BindBoolean,bindBoolean,,0,5.35,7.985,1.4925233644859814,True,large,-1.0
"Average time, time/op",ns/op, org.postgresql.benchmark.statement,BindBoolean,boolAsBoolean,,0,9.965,10.915,1.095333667837431,True,large,-1.0
"Average time, time/op",ns/op, org.postgresql.benchmark.statement,BindBoolean,boolAsInt,,0,12.665,14.931,1.1789182787208843,True,large,-1.0
"Average time, time/op",ns/op, org.postgresql.benchmark.time,AddPaddingZeros,charArray, (nanos = 1000),0,63.750499999999995,76.1785,1.194947490607917,True,large,-0.8931947069943289
"Average time, time/op",ns/op, org.postgresql.benchmark.time,AddPaddingZeros,charArray, (nanos = 1000000),0,49.188,83.48299999999999,1.6972228998942829,True,large,-0.8723404255319149
"Average time, time/op",ns/op, org.postgresql.benchmark.time,AddPaddingZeros,charArray, (nanos = 100000000),0,54.14,93.25200000000001,1.7224233468784633,True,large,-0.8367346938775511
"Average time, time/op",ns/op, org.postgresql.benchmark.time,AddPaddingZeros,insert, (nanos = 1000),0,27.521,113.9615,4.140892409432797,True,large,-1.0
"Average time, time/op",ns/op, org.postgresql.benchmark.time,AddPaddingZeros,insert, (nanos = 1000000),0,37.082,118.592,3.1981015047732053,True,large,-1.0
"Average time, time/op",ns/op, org.postgresql.benchmark.time,AddPaddingZeros,insert, (nanos = 100000000),0,27.0565,94.9735,3.5101916360209193,True,large,-1.0
